"","Species","Year","Zscore","BdStatus","SVL","Cover","Latitude","Longitude"
"389","BL","2015-01-18",2.47,1,3.28,"log",36.60877,-121.93135
"390","BL","2015-02-06",2.76,1,3.49,"log (oak)",36.6079,-121.931
"391","BL","2014-12-21",0,0,3.51,"log",36.59765,-121.91128
"392","BL","2014-12-21",0,0,3.13,"log",36.59744,-121.91116
"393","BL","2014-12-21",0,0,3.68,"log",36.59741,-121.91103
"394","BL","2014-12-21",0,0,3.8,"wood piece",36.59741,-121.91103
"395","BL","2014-12-21",0,0,2.97,"log",36.59734,-121.91106
"396","BL","2014-12-21",0,0,4.29,"bark",36.59731,-121.91112
"397","BL","2015-03-01",0,0,4.78,"log",36.59763,-121.9112
"398","BL","2015-03-01",0,0,4.27,"log",36.59712,-121.91122
"399","BL","2015-03-01",0,0,3.67,"log",36.59714,-121.91102
"400","BL","2014-12-21",0,0,3.25,"bark pile",36.5974,-121.91119
"401","BL","2014-12-21",0,0,4.23,"bark pile",36.5974,-121.91119
"402","BL","2015-03-01",0,0,3.82,"log",36.59746,-121.91115
"403","BL","2015-03-01",0,0,3.38,"log",36.59746,-121.91115
"404","BL","2015-03-01",0,0,3.9,"log",36.5975,-121.91113
"405","BL","2015-03-01",0,0,3.71,"log",36.5975,-121.91113
"406","BL","2015-03-01",2.45,1,3.7,"log",36.5975,-121.91113
