CatalogNumber,date,svl,tail,notes,ZSWAB,logZE,BdStatus,InstitutionCode,YearCollected,decade,MonthCollected,DayCollected,County,Locality,Latitude,Longitude
55994,4/1/15,7.39,6.13,ZS,0,0,0,MVZ,1952,1950,2,3,Humboldt County,5.6 mi N Garberville,40.1689779,-123.7801588
56191,2/20/15,7.68,5.55,KC,0,0,0,MVZ,1952,1950,2,3,Mendocino County,9.4 mi SSE Willits,39.2734652,-123.2927972
55992,2/20/15,7.94,5.97,KC,0,0,0,MVZ,1952,1950,2,3,Mendocino County,3.1 mi S Laytonville,39.6387741,-123.4866986
55990,2/20/25,8.07,6.44,"KC growing back 2 toes rear leg, bony",0,0,0,MVZ,1952,1950,2,3,Mendocino County,"Robinson Creek, 4 mi S and 1.5 mi W Ukiah",39.0947571,-123.2390067
55998,2/20/15,8.07,5.63,KC,0,0,0,MVZ,1952,1950,2,3,Mendocino County,9.4 mi SSE Willits [U.S. Hwy. 101],39.2734652,-123.2927972
55995,2/20/15,8.12,6.18,KC,0,0,0,MVZ,1952,1950,2,3,Mendocino County,"Robinson Creek, 4 mi S and 1.5 mi W Ukiah",39.0947571,-123.2390067
56007,4/1/15,6.21,6.08,ZS,0,0,0,MVZ,1952,1950,2,4,Humboldt County,5.6 mi N Garberville,40.1689779,-123.7801588
56008,4/1/15,6.84,6.26,ZS,0,0,0,MVZ,1952,1950,2,4,Humboldt County,5.6 mi N Garberville,40.1689779,-123.7801588
59691,3/11/15,7.86,5.7,MC,0,0,0,MVZ,1952,1950,2,6,Orange County,13.3 mi SE Irvine Park,33.65848,-117.58409
57967,3/31/15,6.95,5.69,MC,0,0,0,MVZ,1952,1950,2,17,Contra Costa County,St. Mary's College,37.841217,-122.1076409
62425,2/9/15,2.49,1.81,MC,0,0,0,MVZ,1952,1950,2,22,Sonoma County,6.5 mi NE Santa Rosa,38.51403,-122.6343
62424,2/9/15,2.56,1.74,MC,0,0,0,MVZ,1952,1950,2,22,Sonoma County,6.5 mi NE Santa Rosa,38.51403,-122.6343
55928,3/2/15,2.56,1.57,JE,0,0,0,MVZ,1952,1950,2,24,Mariposa County,5.9 mi NE Briceburg,37.665087,-119.888457
55910,3/2/15,4.54,3.79,JE,0,0,0,MVZ,1952,1950,2,24,Mariposa County,5.9 mi NE Briceburg,37.665087,-119.888457
55909,2/27/15,7.19,4.98,KC,0,0,0,MVZ,1952,1950,2,24,Mariposa County,5.9 mi NE Briceburg,37.665087,-119.888457
55907,2/27/15,8.33,6.27,KC has eggs + skin sloughing,0,0,0,MVZ,1952,1950,2,24,Mariposa County,2.8 mi W Briceburg,37.605133,-120.016302
55921,3/2/15,2.41,1.73,SL,0,0,0,MVZ,1952,1950,2,27,Mariposa County,"0.7 mi NNE Briceburg, State Hwy. 140",37.611991,-119.957372
55913,3/2/15,2.53,2.11,JE,0,0,0,MVZ,1952,1950,2,27,Mariposa County,"Merced River Bridge, 15.5 mi ENE Briceburg, Hwy. 140",37.66973,-119.79872
55922,3/2/15,2.68,1.92,JE,0,0,0,MVZ,1952,1950,2,27,Mariposa County,"0.7 mi NNE Briceburg, State Hwy. 140",37.611991,-119.957372
55919,3/2/15,6.59,6.32,JE,0,0,0,MVZ,1952,1950,2,27,Mariposa County,"0.7 mi NNE Briceburg, State Hwy. 140",37.611991,-119.957372
55923,7/7/15,7.9,6.09,MC,0,0,0,MVZ,1952,1950,2,28,Stanislaus County,"6.3 mi E Oakdale, Stanislaus County",37.786678,-120.732917
55924,7/7/15,7.9,7.07,MC,0,0,0,MVZ,1952,1950,2,28,Stanislaus County,6.3 mi E Oakdale,37.786678,-120.732917
57970,3/4/15,2.83,1.88,MC,0,0,0,MVZ,1952,1950,3,23,Napa County,2 mi NW Calistoga,38.6023043,-122.6103548
57968,3/4/15,3,2.47,MC,0,0,0,MVZ,1952,1950,3,23,Napa County,2 mi NW Calistoga,38.6023043,-122.6103548
59906,3/4/15,4.57,4.04,MC,0,0,0,MVZ,1952,1950,3,23,Napa County,2 mi NW Calistoga,38.6023043,-122.6103548
57972,3/4/15,2.99,2.34,MC added b/c missing 2 in napa,0,0,0,,1952,1950,3,23,Napa County,,38.6023043,-122.6103548
56157,2/20/15,5.92,4.8,KC,0,0,0,MVZ,1952,1950,3,29,Mendocino County,0.25 mi N Lanes Redwood Flat,39.90029,-123.75109
56159,4/1/15,6.23,5.78,ZS,0,0,0,MVZ,1952,1950,3,29,Humboldt County,5.6 mi N Garberville [U.S. Hwy. 101],40.1689779,-123.7801588
56158,4/1/15,7.34,5.46,ZS,0,0,0,MVZ,1952,1950,3,29,Humboldt County,5.6 mi N Garberville [U.S. Hwy. 101],40.1689779,-123.7801588
58284,3/18/15,2.6,1.98,MC,0,0,0,MVZ,1952,1950,4,10,Calaveras County,"Cataract Gulch, 4.5 mi ESE Murphys",38.1142202,-120.4067806
70404,3/31/15,4.44,4.07,MC,0,0,0,MVZ,1952,1950,6,28,Contra Costa County,Canyon,,
70408,3/31/15,5.61,4.64,MC dark speckles or dirt,0,0,0,MVZ,1952,1950,6,28,Contra Costa County,Canyon,,
70409,3/31/15,6.54,6.22,MC,0,0,0,MVZ,1952,1950,6,28,Contra Costa County,Canyon,,
70402,3/31/15,6.62,6.54,"MC, speckles on feet, vent",0,0,0,MVZ,1952,1950,6,28,Contra Costa County,Canyon,,
57356,7/7/15,3.34,2.35,MC,0,0,0,MVZ,1952,1950,7,25,Madera County,Ahwahnee,37.3690673,-119.7238566
57357,7/7/15,3.34,2.12,MC tail broken,0,0,0,MVZ,1952,1950,7,25,Madera County,Ahwahnee,37.3690673,-119.7238566
57360,7/7/15,8.01,7.58,MC,0,0,0,MVZ,1952,1950,7,25,Madera County,Ahwahnee,37.3690673,-119.7238566
59693,3/4/15,2.66,2.15,MC,0,0,0,MVZ,1953,1950,2,1,Napa County,6.5 mi NE Napa,38.356418,-122.2075966
58386,7/7/15,5.38,3.99,MC,0,0,0,MVZ,1953,1950,2,1,Yolo County,1.5 mi E of the Napa-Yolo-Solano County lines,38.513311,-122.0742719
59692,3/4/15,6.33,5.79,MC,0,0,0,MVZ,1953,1950,2,1,Napa County,6.5 mi NE Napa,38.356418,-122.2075966
59695,3/4/15,5.56,5.05,MC,0,0,0,MVZ,1953,1950,2,15,Napa County,3.0 mi NNW Calistoga,38.6195162,-122.5963945
59697,3/4/15,7.16,6.59,MC,0,0,0,MVZ,1953,1950,2,15,Napa County,3.0 mi NNW Calistoga,38.6195162,-122.5963945
58236,3/9/15,3.91,3.77,JE,0,0,0,MVZ,1953,1950,2,22,San Benito County,"1 mi E of E boundary, Pinnacles National Monument",36.4869853,-121.2274432
58237,3/9/15,5.44,4.63,SL,0,0,0,MVZ,1953,1950,2,22,San Benito County,"1 mi E of E boundary, Pinnacles National Monument",36.4869853,-121.2274432
58235,3/9/15,5.98,5.71,JE,0,0,0,MVZ,1953,1950,2,22,San Benito County,"1 mi E of E boundary, Pinnacles National Monument",36.4869853,-121.2274432
58240,3/9/15,7.13,6.07,JE,0,0,0,MVZ,1953,1950,2,22,San Benito County,"1 mi E of E boundary, Pinnacles National Monument",36.4869853,-121.2274432
58239,3/9/15,7.43,5.94,SL,0,0,0,MVZ,1953,1950,2,22,San Benito County,"1 mi E of E boundary, Pinnacles National Monument",36.4869853,-121.2274432
58242,3/9/15,8.14,7.47,SL,0,0,0,MVZ,1953,1950,2,22,San Benito County,"1 mi E of E boundary, Pinnacles National Monument",36.4869853,-121.2274432
59702,3/11/15,2.48,0.49,ZS,0,0,0,MVZ,1953,1950,2,23,San Benito County,3.5 mi W and 2 mi S Pinnacles,36.5029468,-121.2081428
60118,3/11/15,2.77,2.03,ZS,0,0,0,MVZ,1953,1950,2,23,San Benito County,"3.5 mi W, 2 mi S Pinnacles National Monument",36.5064116,-121.2895024
59705,3/11/15,3.33,2.51,ZS,0,0,0,MVZ,1953,1950,2,23,San Benito County,3 mi S Pinnacles,36.4925384,-121.1374832
58385,3/9/15,5.12,4.06,JE,0,0,0,MVZ,1953,1950,2,23,San Benito County,1 mi NE Pinnacles National Monument,36.5433785,-121.1794163
59704,3/9/15,5.57,4.64,JE,0,0,0,MVZ,1953,1950,2,23,San Benito County,3 mi S Pinnacles,36.4925384,-121.1374832
60117,3/9/15,5.58,4.36,SL,0,0,0,MVZ,1953,1950,2,23,San Benito County,1 mi NE Pinnacles National Monument,36.5433785,-121.1794163
60119,3/9/15,5.78,5.26,JE,0,0,0,MVZ,1953,1950,2,23,San Benito County,"3.5 mi W, 2 mi S Pinnacles National Monument",36.5064116,-121.2895024
60120,3/9/15,6.25,5.68,JE,0,0,0,MVZ,1953,1950,2,23,San Benito County,"3.5 mi W, 2 mi S Pinnacles National Monument",36.5064116,-121.2895024
59707,3/9/15,6.49,4.91,JE,0,0,0,MVZ,1953,1950,2,23,San Benito County,3 mi S Pinnacles,36.4925384,-121.1374832
60116,3/9/15,6.68,6.32,"JE, skinny",0,0,0,MVZ,1953,1950,2,23,San Benito County,1 mi NE Pinnacles National Monument,36.5433785,-121.1794163
58384,3/9/15,6.7,5.91,JE,0,0,0,MVZ,1953,1950,2,23,San Benito County,1 mi NE Pinnacles National Monument,36.5433785,-121.1794163
58383,3/9/15,6.99,6.12,SL,0,0,0,MVZ,1953,1950,2,23,San Benito County,1 mi NE Pinnacles National Monument,36.5433785,-121.1794163
59703,3/9/15,7,6.31,SL Skin is peeling,0,0,0,MVZ,1953,1950,2,23,San Benito County,3.5 mi W and 2 mi S Pinnacles,36.5029468,-121.2081428
59706,3/9/15,7.15,5.95,JE,0,0,0,MVZ,1953,1950,2,23,San Benito County,3 mi S Pinnacles,36.4925384,-121.1374832
58230,3/18/15,6.04,5.23,MC,0,0,0,MVZ,1953,1950,3,15,Calaveras County,7.5 mi E Valley Springs,38.2091371,-120.7061344
58227,7/7/15,6.55,5.79,MC,0,0,0,MVZ,1953,1950,3,15,San Joaquin County,ca. 3 mi E Clements,38.201703,-121.031553
58231,3/18/15,6.97,6.3,"MC, has eggs",0,0,0,MVZ,1953,1950,3,15,Calaveras County,7.5 mi E Valley Springs,38.2091371,-120.7061344
58233,3/18/15,7.44,6.1,MC,0,0,0,MVZ,1953,1950,3,15,Calaveras County,7.5 mi E Valley Springs,38.2091371,-120.7061344
60123,?,6.39,5.79,MC,0,0,0,MVZ,1953,1950,3,23,Tuolumne County,"Woods Creek, 1 mi S and 1 mi E Columbia",38.02166,-120.3824
59708,3/18/15,7.33,6.77,MC,0,0,0,MVZ,1953,1950,3,23,Calaveras County,5.4 mi NE Murphys,38.1780756,-120.3822068
60121,3/18/15,7.53,6.74,MC,0,0,0,MVZ,1953,1950,3,23,Calaveras County,2.5 mi N and 3.5 mi E Murphys,38.1800076,-120.3995818
59711,3/4/15,7.95,7.34,MC,0,0,0,MVZ,1953,1950,3,23,Tuolumne County,1 mi S and 1 mi E Columbia,38.02166,-120.3824
60122,3/18/15,8,8.19,MC,0,0,0,MVZ,1953,1950,3,23,Calaveras County,2.5 mi N and 3.5 mi E Murphys,38.1800076,-120.3995818
59710,?,8.13,7.63,MC,0,0,0,MVZ,1953,1950,3,23,Tuolumne County,1 mi S and 1 mi E Columbia,38.02166,-120.3824
59713,?,8.27,7.28,MC,0,0,0,MVZ,1953,1950,3,23,Tuolumne County,1 mi S and 1 mi E Columbia,38.02166,-120.3824
60124,3/4/15,8.2,7.76,MC,0,0,0,,1953,1950,3,23,Tuolumne Co.,,38.02166,-120.3824
62426,3/2/15,6.95,5.44,JE,0,0,0,MVZ,1953,1950,5,29,Mariposa County,0.6 mi NE Briceburg,37.611784,-119.956465
12931,5/29/15,6.65,6.23,,0,0,0,CAS,1953,1950,6,20,Mendocino Co.,9.4 mi S of Piercy,39.88436667,-123.7357334
12932,5/29/15,6.79,7.3,,0,0,0,CAS,1953,1950,6,20,Mendocino Co.,9.4 mi S of Piercy,39.88436667,-123.7357334
59787,2/27/15,7.1,5.45,KC,0,0,0,MVZ,1954,1950,1,2,Marin County,"SW tip of Point Reyes, near Point Reyes Lighthouse",37.995685,-123.0218949
16489,5/27/15,2.51,1.91,,0,0,0,CAS,1954,1950,2,7,Calaveras Co.,upper entrance Cave City Cave,38.2025,-120.5075
70313,7/7/15,5.41,4.92,MC,0,0,0,MVZ,1954,1950,2,14,San Joaquin County,6 mi S and 7.5 mi W Tracy,37.6485062,-121.5539254
70312,3/31/15,6.45,5.98,MC,0,0,0,MVZ,1954,1950,2,14,Contra Costa County,2 mi E top of Mt. Diablo,37.8813581,-121.8760289
61130,2/20/15,7.42,6.18,KC,0,0,0,MVZ,1954,1950,5,15,Mendocino County,"Hopland, University of California Hopland Field Station",39.0011578,-123.0820897
63818,2/9/15,5.39,4.51,SL,0,0,0,MVZ,1954,1950,10,17,Monterey County,2 mi W Castroville,36.766562,-121.788268
63817,1/23/15,7.14,6.01,KC,0,0,0,MVZ,1954,1950,10,17,Monterey County,2 mi W Castroville,36.766562,-121.788268
63816,11/21/14,7.27,5.82,,0,0,0,MVZ,1954,1950,10,17,Monterey County,2 mi W Castroville,36.766562,-121.788268
187348,3/4/15,7.59,6.85,MC,0,0,0,MVZ,1955,1950,1,1,Tuolumne County,Groveland,37.838655,-120.229955
62259,2/27/15,8.44,6.93,KC,0,0,0,MVZ,1955,1950,1,1,Marin County,1 mi W Point Reyes Station,38.0694578,-122.8242896
187349,3/4/15,7.13,7.14,MC,0,0,0,MVZ,1955,1950,1,1,Tuolumne County,Groveland,37.838655,-120.229955
62262,3/2/15,2.14,1.3,JE,0,0,0,MVZ,1955,1950,2,17,Mariposa County,Briceburg,37.604796,-119.965071
62265,3/2/15,2.6,1.75,SL,0,0,0,MVZ,1955,1950,2,17,Mariposa County,Merced River at junction South Fork,37.6537733,-119.8872829
62260,3/2/15,3.45,2.55,SL,0,0,0,MVZ,1955,1950,2,17,Mariposa County,Briceburg,37.604866,-119.965028
62263,3/2/15,5.98,4.21,JE,0,0,0,MVZ,1955,1950,2,17,Mariposa County,Briceburg,37.604796,-119.965071
186875,5/28/15,4.48,4.52,,0,0,0,CAS,1955,1950,3,1,Santa Clara Co.,San Jose,37.33527778,-121.8938889
62370,2/20/15,2.9,1.79,KC,0,0,0,MVZ,1955,1950,3,19,Mendocino County,6 mi N Rockport on Hwy. 1,39.7968293,-123.8094996
62363,2/20/15,3.01,1.73,KC,0,0,0,MVZ,1955,1950,3,19,Mendocino County,0.6 mi W Navarro,39.1532971,-123.5558986
62368,2/20/15,4.07,0.52,KC tail stump,0,0,0,MVZ,1955,1950,3,19,Mendocino County,3 mi WNW McDonald on Hwy. 128,38.8858775,-123.1479541
62362,2/20/15,5.65,7.12,KC,0,0,0,MVZ,1955,1950,3,19,Mendocino County,0.6 mi W Navarro,39.1532971,-123.5558986
62358,2/20/15,5.91,4.2,KC,0,0,0,MVZ,1955,1950,3,19,Mendocino County,0.6 mi W Navarro,39.1532971,-123.5558986
62365,2/20/15,6.65,4.93,KC,0,0,0,MVZ,1955,1950,3,19,Mendocino County,0.6 mi W Navarro,39.1532971,-123.5558986
62364,2/20/15,7.72,6.05,KC,0,0,0,MVZ,1955,1950,3,19,Mendocino County,0.6 mi W Navarro,39.1532971,-123.5558986
62191,2/20/15,5.02,4.02,KC,0,0,0,MVZ,1955,1950,3,26,Mendocino County,0.6 mi W Navarro,39.1532971,-123.5558986
62192,2/20/15,5.8,4.55,KC,0,0,0,MVZ,1955,1950,3,26,Mendocino County,0.6 mi W Navarro,39.1532971,-123.5558986
62258,3/31/15,2.03,1.59,MC,0,0,0,MVZ,1955,1950,4,16,Lake County,3 mi N and 1 mi W Cobb Mt.,38.8512906,-122.7522561
15562,5/27/15,2.44,1.72,,0,0,0,CAS,1955,1950,4,24,Santa Clara Co.,0.75 mi below Betty's Picnic Ground by Stevens Creek-Mtn View Rd,37.416175,-122.3527583
62541,3/2/15,2.75,1.16,SL,0,0,0,MVZ,1955,1950,4,26,Mariposa County,Briceburg,37.604796,-119.965071
62540,2/27/15,8.19,6.34,KC scars on head,0,0,0,MVZ,1955,1950,4,26,Mariposa County,Briceburg,37.604796,-119.965071
62537,2/27/15,8.87,6.93,KC has eggs ,0,0,0,MVZ,1955,1950,4,26,Mariposa County,Briceburg,37.604796,-119.965071
63825,3/11/15,7.19,5.85,ZS,0,0,0,MVZ,1955,1950,7,16,Alameda County,"2801 Hilgard Ave., Berkeley",37.87938,-122.2548
63831,3/11/15,3.22,2.42,ZS,0,0,0,MVZ,1955,1950,7,19,Alameda County,"2801 Hilgard Ave., Berkeley",37.87938,-122.2548
63827,3/11/15,5.48,4.88,ZS,0,0,0,MVZ,1955,1950,7,19,Alameda County,"2801 Hilgard Ave., Berkeley",37.87938,-122.2548
63826,3/18/15,7.98,6.39,ZS,0,0,0,MVZ,1955,1950,7,19,Alameda County,"2801 Hilgard Ave., Berkeley",37.87938,-122.2548
63813,2/27/15,4.17,2.31,KC,0,0,0,MVZ,1955,1950,10,30,Marin County,"SW Tip Point Reyes, 0.5 mi N Point Reyes Light",38.0054412,-122.8269544
64627,3/11/15,4.68,3.41,ZS,0,0,0,MVZ,1956,1950,3,17,San Benito County,"E entrance, Pinnacles National Monument",36.4870962,-121.21364
64625,3/11/15,5.71,5.15,ZS,0,0,0,MVZ,1956,1950,3,17,San Benito County,"E entrance, Pinnacles National Monument",36.4870962,-121.21364
64626,3/9/15,5.88,2.82,"JE, broken tail",0,0,0,MVZ,1956,1950,3,17,San Benito County,"E entrance, Pinnacles National Monument",36.4870962,-121.21364
64628,3/9/15,7.43,6.33,JE,0,0,0,MVZ,1956,1950,3,17,San Benito County,"E entrance, Pinnacles National Monument",36.4870962,-121.21364
91639,5/27/15,6.1,5.27,,0,0,0,CAS,1956,1950,3,31,Contra Costa Co.,"1.8 mi S, 1 mi E of Orinda",37.85101111,-122.159925
17936,5/29/15,6.48,5.35,,0,0,0,CAS,1957,1950,3,2,Sonoma Co.,"Pepperwood Valley, Pepperwood Creek",38.62205278,-123.1832167
17937,5/29/15,6.84,6.13,substitute,0,0,0,CAS,1957,1950,3,13,Sonoma Co.,"Pepperwood Valley, Pepperwood Creek",38.62205278,-123.1832167
54431,2/20/15,3.05,1.95,KC,0,0,0,MVZ,1957,1950,3,18,Mendocino County,3.3 mi N Laytonville,39.7387262,-123.4836866
54434,2/20/15,4.19,3.14,KC,0,0,0,MVZ,1957,1950,3,18,Mendocino County,3.3 mi N Laytonville,39.7387262,-123.4836866
54433,2/20/15,6.81,5.07,KC,0,0,0,MVZ,1957,1950,3,18,Mendocino County,3.3 mi N Laytonville,39.7387262,-123.4836866
54432,2/20/15,8.16,5.76,KC,0,0,0,MVZ,1957,1950,3,18,Mendocino County,3.3 mi N Laytonville,39.7387262,-123.4836866
17942,5/29/15,7.45,7.36,,0,0,0,CAS,1957,1950,3,25,Sonoma Co.,"Pepperwood Valley, Pepperwood Creek",38.62205278,-123.1832167
17943,5/29/15,7.63,7.36,,0,0,0,CAS,1957,1950,3,25,Sonoma Co.,"Pepperwood Valley, Pepperwood Creek",38.62205278,-123.1832167
86227,5/27/15,3.95,3.77,,0,0,0,CAS,1957,1950,12,7,Marin Co.,vic of Alpine Lake,37.94027778,-122.6369444
86228,5/27/15,4.13,3.32,,0,0,0,CAS,1957,1950,12,7,Marin Co.,vic of Alpine Lake,37.94027778,-122.6369444
180852,5/28/15,5.05,3.52,,0,0,0,CAS,1957,1950,12,22,San Diego Co.,"La Jolla, La Jolla Mesa",32.77833333,-117.2563889
86236,5/27/15,4.67,4.49,,0,0,0,CAS,1958,1950,1,4,Marin Co.,vic of Alpine Lake,37.94027778,-122.6369444
86235,5/27/15,5.64,5.41,,0,0,0,CAS,1958,1950,1,4,Marin Co.,vic of Alpine Lake,37.94027778,-122.6369444
180854,5/28/15,4.96,4.4,,0,0,0,CAS,1960,1960,2,1,San Diego Co.,"2.6 rd mi via California 76 NE of Rincon Springs, banks of Potrero Creek",33.30393333,-116.9295333
180853,5/28/15,5.73,5.23,,0,0,0,CAS,1960,1960,2,1,San Diego Co.,"2.6 rd mi via California 76 NE of Rincon Springs, banks of Potrero Creek",33.30393333,-116.9295333
186871,5/28/15,5.23,4.46,,0,0,0,CAS,1960,1960,2,10,Santa Cruz Co.,Aptos Creek,37.022875,-121.9032583
180855,5/28/15,2.2,1.74,,0,0,0,CAS,1960,1960,3,24,Santa Barbara Co.,"Montecito, Manning Park",34.43479444,-119.6322944
180856,5/28/15,8.03,8.04,,0,0,0,CAS,1960,1960,4,10,Santa Barbara Co.,"N bank of Santa Cruz Creek, near Santa Cruz Guard Station",34.631225,-119.7623361
86691,5/29/15,4.96,4.52,substitute,0,0,0,CAS,1960,1960,4,23,Sonoma Co.,"Mills Creek, ca 3.2 mi NE of Healdsburg",38.66024722,-122.8320861
86692,5/28/15,5.42,4.4,,0,0,0,CAS,1960,1960,4,23,Sonoma Co.,"Mills Creek, ca 3.2 mi NE of Healdsburg",38.66024722,-122.8320861
86690,5/29/15,6.25,#VALUE!,substitute,0,0,0,CAS,1960,1960,4,23,Sonoma Co.,"Mills Creek, ca 3.2 mi NE of Healdsburg",38.66024722,-122.8320861
91666,5/28/15,5.23,5.1,,0,0,0,CAS,1960,1960,6,,Humboldt Co.,Ferndale,40.57638889,-124.2627778
91664,5/28/15,6.01,5.76,,0,0,0,CAS,1960,1960,6,,Humboldt Co.,Ferndale,40.57638889,-124.2627778
91665,5/28/15,7.04,6.06,,0,0,0,CAS,1960,1960,6,,Humboldt Co.,Ferndale,40.57638889,-124.2627778
180857,5/28/15,6.74,7.19,,0,0,0,CAS,1960,1960,10,8,Santa Barbara Co.,"Santa Ynez Mtns, Kinevan Ranch, between Rosario Park and W Camino Cielo, permanent spring near abandoned house just above confluence of the two major contributing streams comprising Rosario Creek",34.50837222,-119.8309472
180858,5/28/15,3.83,3.39,,0,0,0,CAS,1960,1960,11,5,Santa Barbara Co.,"S and N slopes of San Rafael Mtns, Tepusquet Rd between Rancho de los Flojos and Buckhorn Canyon",34.93534444,-120.2225472
180859,5/28/15,5.65,5.11,,0,0,0,CAS,1960,1960,11,5,Santa Barbara Co.,"S and N slopes of San Rafael Mtns, Tepusquet Rd between Rancho de los Flojos and Buckhorn Canyon",34.93534444,-120.2225472
180862,5/27/15,6.07,5.6,,0,0,0,CAS,1960,1960,11,5,Santa Barbara Co.,road between Cat Canyon Rd and Palmer Rd (road between Canada del Gato and Cat Canyon Oil Field),34.81218889,-120.2728722
180860,5/28/15,6.39,5.88,,0,0,0,CAS,1960,1960,11,5,Santa Barbara Co.,"S and N slopes of San Rafael Mtns, Tepusquet Rd between Rancho de los Flojos and Buckhorn Canyon",34.93534444,-120.2225472
180861,5/28/15,6.5,6.4,,0,0,0,CAS,1960,1960,11,5,Santa Barbara Co.,"S and N slopes of San Rafael Mtns, Tepusquet Rd between Rancho de los Flojos and Buckhorn Canyon",34.93534444,-120.2225472
180863,5/28/15,5.14,4.78,,0,0,0,CAS,1960,1960,11,6,Santa Barbara Co.,Paradise Store/California Hwy 150-to-Los Prietos Boys Camp/Oso Canyon Rd at Los Prietos Ranger Station,34.54221944,-119.7847194
180864,5/28/15,5.62,4.26,,0,0,0,CAS,1960,1960,11,6,Santa Barbara Co.,California Hwy 150 between road to Los Prietos/Oso Canyon and Cachuma County Park,34.55165556,-119.9092472
71620,7/7/15,3.31,2.91,MC,0,0,0,MVZ,1960,1960,11,25,Los Angeles County,"Madelia Canyon, Sherman Oaks, Santa Monica Mts.",34.1441269,-118.4528861
71619,7/7/15,4.33,3.72,MC,0,0,0,MVZ,1960,1960,11,25,Los Angeles County,"Madelia Canyon, Sherman Oaks, Santa Monica Mts.",34.1441269,-118.4528861
71618,7/7/15,5.03,3.38,MC,0,0,0,MVZ,1960,1960,11,25,Los Angeles County,"Madelia Canyon, Sherman Oaks, Santa Monica Mts.",34.1441269,-118.4528861
71617,7/7/15,5.5,4.76,MC,0,0,0,MVZ,1960,1960,11,25,Los Angeles County,"Madelia Canyon, Sherman Oaks, Santa Monica Mts.",34.1441269,-118.4528861
71616,7/7/15,6.03,5.18,MC ,0,0,0,MVZ,1960,1960,11,25,Los Angeles County,"Madelia Canyon, Sherman Oaks, Santa Monica Mts.",34.1441269,-118.4528861
71615,7/7/15,7,5.92,MC,0,0,0,MVZ,1960,1960,11,25,Los Angeles County,"Madelia Canyon, Sherman Oaks, Santa Monica Mts.",34.1441269,-118.4528861
180865,5/27/15,5.09,4.49,,0,0,0,CAS,1960,1960,12,1,Santa Barbara Co.,"Jalama Rd, 0.9 rd mi W of Jualachichi Summit",34.52718333,-120.39155
180866,5/27/15,6.9,5.25,tail growing,0,0,0,CAS,1961,1960,1,24,Santa Barbara Co.,"US Hwy 101, 10 rd mi N of Buellton, ca 10 yds W of Hwy 101",34.72256111,-120.2092528
180868,5/28/15,4.85,4.16,,0,0,0,CAS,1961,1960,1,25,Santa Barbara Co.,"California Hwy 150, 0.4 mi S (up) of Cold Springs",34.51627222,-119.8400917
180869,5/27/15,5.6,4.81,,0,0,0,CAS,1961,1960,1,25,Santa Barbara Co.,"Paradise Store-Los Prietos Boys Camp Rd, 0.5 mi E of Paradise Store",34.53713056,-119.8500306
180867,5/27/15,6.06,5.73,,0,0,0,CAS,1961,1960,1,25,Santa Barbara Co.,"California Hwy 150, 0.5 mi S (up) of Cold Springs",34.51530556,-119.8412556
180870,5/27/15,5.73,4.01,,0,0,0,CAS,1961,1960,1,26,Santa Barbara Co.,"Figueroa Mtn Rd, 3.4 mi N of Los Olivos",34.71145556,-120.1089917
180871,5/28/15,7.33,6.12,,0,0,0,CAS,1961,1960,1,26,Santa Barbara Co.,"Figueroa Mtn Rd, 3.2 mi N of Los Olivos",34.7089,-120.1109083
223454,5/27/15,4.67,4.53,,0,0,0,CAS,1961,1960,2,18,Orange Co.,"Santa Ana Mtns, Traburo Canyon",33.6625195,-117.5903244
187341,7/7/15,5.31,4.45,MC,0,0,0,MVZ,1961,1960,3,31,El Dorado County,2 mi S El Dorado on Hwy. 49,38.64541,-120.84118
187338,7/7/15,5.6,2.86,MC,0,0,0,MVZ,1961,1960,3,31,El Dorado County,2 mi S El Dorado on Hwy. 49,38.64541,-120.84118
187339,7/7/15,5.71,5.05,MC,0,0,0,MVZ,1961,1960,3,31,El Dorado County,2 mi S El Dorado on Hwy. 49,38.64541,-120.84118
187342,7/7/15,5.79,4.94,MC,0,0,0,MVZ,1961,1960,3,31,El Dorado County,2 mi S El Dorado on Hwy. 49,38.64541,-120.84118
180872,5/27/15,6.11,5.79,,0,0,0,CAS,1961,1960,4,13,Santa Barbara Co.,Juncal Public Campground,34.48861111,-119.5383333
73266,4/1/15,2.02,1.49,ZS,0,0,0,MVZ,1961,1960,11,11,Humboldt County,Jordan Creek and U.S. Hwy. 101,40.440934,-124.0363286
73681,2/20/15,6.34,4.97,KC,0,0,0,MVZ,1962,1960,3,10,Mendocino County,5.9 mi N (by road) junction of Robinson Creek Rd. and Boonville Rd.,39.0591727,-123.4319766
73680,2/20/15,6.43,4.52,KC,0,0,0,MVZ,1962,1960,3,10,Mendocino County,5.9 mi N (by road) junction of Robinson Creek Rd. and Boonville Rd.,39.0591727,-123.4319766
73679,2/20/15,7.19,5.58,KC,0,0,0,MVZ,1962,1960,3,10,Mendocino County,5.9 mi N (by road) junction of Robinson Creek Rd. and Boonville Rd.,39.0591727,-123.4319766
187346,3/4/15,5.3,4.6,MC,0,0,0,MVZ,1962,1960,4,17,Tuolumne County,Groveland,37.838655,-120.229955
76946,3/4/15,4.7,4.55,MC,0,0,0,MVZ,1962,1960,10,13,Tuolumne County,7.1 mi E Groveland on State Hwy. 120,37.813896,-120.116942
